x1(mm),A1(mm^2)
3.35,3196
10,3029
19.5,2811
30,2604
40,2432
50,2290
60,2163
70,2050
80,1948
90,1860
100,1804
110,1733
120,1685
130,1652
140,1622
150.5,1599
160,1591
165,1589
170,1591
180,1606
190,1634
199,1672
210,1727
220,1773
230,1824
240,1882
250,1930
260.5,1985
270,2026
280,2071
290,2112
300.3,2152
310.3,2187
320.5,2225
330,2253
340,2278
350,2304
360,2329
369.8,2354
380,2374
390,2397
400,2407
410,2417
420,2427
430,2435
440,2442
449.7,2450
460,2457
470,2465
482,2472
490,2480
499,2482
510,2490
520,2490
530,2495
540,2502
