Ponto,x,y,θ (deg),ν (deg),M,μ (deg),C⁺ dy/dx,C⁻ dy/dx,K⁺,K⁻
"0,1",0.0,1.0,1.3189880406708223,1.3190068443601886,1.099103733496904,65.48217714022476,,,0.0,2.637994885031011
"0,2",0.0,1.0,2.6379760813416446,2.6379673997223576,1.1613364649996756,59.43771272503987,,,0.0,5.275943481064003
"0,3",0.0,1.0,3.956964122012467,3.957004105423009,1.2160281362086534,55.3206732935271,,,0.0,7.9139682274354755
"0,4",0.0,1.0,5.275952162683289,5.275978328638588,1.2668879440925118,52.12348357700677,,,0.0,10.551930491321876
"0,5",0.0,1.0,6.594940203354112,6.594897632091641,1.3154346149691338,49.48227548196254,,,0.0,13.189837835445752
"0,6",0.0,1.0,7.913928244024934,7.913931850564983,1.3624830039206146,47.218913464324515,,,0.0,15.827860094589916
"0,7",0.0,1.0,9.232916284695756,9.232910402442846,1.4085237763727303,45.231918512084356,,,0.0,18.465826687138602
"0,8",0.0,1.0,10.551904325366579,10.551947538779627,1.4538957251194713,43.456782257735235,,,0.0,21.103851864146208
"0,9",0.0,1.0,11.8708923660374,11.87091176345319,1.4988354209911225,41.85014557483984,,,0.0,23.74180412949059
"0,10",0.0,1.0,13.189880406708223,13.189925242722888,1.543529784149885,40.38087721740445,,,0.0,26.379805649431113
1,0.5361851629576513,0.0,0.0,2.637994885031011,1.1613364649996756,59.43771272503987,,-1.865027361973053,-2.637994885031011,2.637994885031011
2,0.6091563517462314,0.11695393028002975,1.3189742980164958,3.956969183047507,1.2160281362086534,55.3206732935271,1.6027411944580088,-1.4496213774814888,-2.637994885031011,5.275943481064003
w1,1.2182491340570978,1.0420839746868513,1.3189742980164958,3.957004105423009,1.2160281362086534,55.3206732935271,1.5188655509870372,0.03454463747222243,-2.638029807406513,5.275978403439504
3,0.697087311406494,0.0,0.0,5.275943481064003,1.2668879440925118,52.12348357700677,,-1.3300654369280478,-5.275943481064003,5.275943481064003
4,0.7693711265529388,0.09075061537669103,1.3190123731857364,6.594955854249739,1.315437535596668,49.48212662917172,1.2554762804485775,-1.1818085618797205,-5.275943481064003,7.9139682274354755
5,0.6693137066524802,0.2051431626320258,2.637986671202232,5.275981556233243,1.2668879440925118,52.12348357700677,1.4659758975346069,-1.143269008626618,-2.637994885031011,7.9139682274354755
w2,1.5698965811447905,1.072331637308907,1.3190123731857364,6.594978398741375,1.315437535596668,49.48212662917172,1.2261709059990797,0.046074141556612484,-5.275966025555639,7.913990771927112
6,0.8519740465864433,0.0,0.0,7.9139682274354755,1.3624859245481489,47.21878074380618,,-1.098636892495832,-7.9139682274354755,7.9139682274354755
7,0.9176236807493449,0.07011738642833325,1.3189811319432003,9.232949359378676,1.4085266970002648,45.23179874178661,1.068054488382151,-1.0133594338065808,-7.9139682274354755,10.551930491321876
8,0.7160029292617399,0.26977004426261186,3.9569678031454325,6.594962688176444,1.315437535596668,49.48212662917172,1.430238736101783,-0.9902386354638323,-2.637994885031011,10.551930491321876
9,0.8261526276138945,0.15921479909517433,2.6379935051289367,7.913936986192939,1.3624830039206146,47.218913464324515,1.2057480418664186,-0.974050364708337,-5.275943481064003,10.551930491321876
w3,1.902308328901343,1.109602017465967,1.3189811319432003,9.232994772533857,1.4085266970002648,45.23179874178661,1.0556523177125603,0.057615274979774776,-7.914013640590657,10.551975904477057
10,0.9910363161115358,0.0,0.0,10.551930491321876,1.4538957251194713,43.456782257735235,,-0.9551133273230128,-10.551930491321876,10.551930491321876
11,1.054683571323985,0.06000528588789594,1.3189536720619381,11.870884163383813,1.4988354209911225,41.85014557483984,0.9427788470626619,-0.8912575673593665,-10.551930491321876,13.189837835445752
12,0.7553390518992714,0.32240410226555555,5.275921475207371,7.913916360238382,1.3624830039206146,47.218913464324515,1.4054342392802848,-0.876577987403754,-2.637994885031011,13.189837835445752
13,0.8745417998809633,0.21606594288952652,3.956947177190875,9.232890658254878,1.4085237763727303,45.231918512084356,1.1915425046484247,-0.8663213187674914,-5.275943481064003,13.189837835445752
14,0.974096597660709,0.12925991227629707,2.6379348040051385,10.551903031440613,1.4538957251194713,43.456782257735235,1.0472723755493225,-0.8593774308708261,-7.9139682274354755,13.189837835445752
w4,2.220498518299918,1.1535957895524787,1.3189536720619381,11.87091176345319,1.4988354209911225,41.85014557483984,0.9380481066067158,0.06917175953356465,-10.551958091391253,13.189865435515127
15,1.1250498843012238,0.0,0.0,13.189837835445752,1.5435268635223505,40.38096942247939,,-0.8527558621311563,-13.189837835445752,13.189837835445752
16,1.1887967673105688,0.054182081585515816,1.3190111295720817,14.508848965017833,1.5881190047174094,39.0262028300961,0.8499565630145858,-0.7956094299904778,-13.189837835445752,15.827860094589916
17,0.789854192002548,0.36780436511752235,6.594932604779452,9.232927489810464,1.4085237763727303,45.231918512084356,1.3882315055988814,-0.7861339023288282,-2.637994885031011,15.827860094589916
18,0.9174404923245981,0.26576211303978686,5.2759583067629565,10.55190178782696,1.4538957251194713,43.456782257735235,1.181956151098699,-0.7797130597595725,-5.275943481064003,15.827860094589916
19,1.0245768122630998,0.18156503428963036,3.95694593357722,11.870914161012696,1.4988354209911225,41.85014557483984,1.0420232328303929,-0.775684980959189,-7.9139682274354755,15.827860094589916
20,1.1119773485225461,0.11360854661285025,2.63796480163402,13.189895292955896,1.543529784149885,40.38087721740445,0.9355860853646164,-0.773586496290957,-10.551930491321876,15.827860094589916
w5,2.544134763582539,1.2054322861993374,1.3190111295720817,14.508864097266107,1.5881190047174094,39.0262028300961,0.849419264995508,0.08074740738578508,-13.189852967694026,15.827875226838188
21,1.2588045524172802,0.0,0.0,15.827860094589916,1.6327257490501403,37.768513139499746,,-0.7739436621645328,-15.827860094589916,15.827860094589916
22,1.3241106916219394,0.050731289308106345,1.318983296274343,17.14684339086426,1.6774463978567122,36.594245088095654,0.7768226682199422,-0.7169103887599522,-15.827860094589916,18.465826687138602
23,0.8209071566378211,0.40845925129212696,7.913915901053795,10.551910786084807,1.4538957251194713,43.456782257735235,1.3766432725549236,-0.7109011306832553,-2.637994885031011,18.465826687138602
24,0.9564327311326206,0.31072698500150553,6.5949416030373,11.870885084101303,1.4988354209911225,41.85014557483984,1.1759568197818604,-0.7071288563159662,-5.275943481064003,18.465826687138602
25,1.0708255614096862,0.22933879169108295,5.275929229851563,13.189897457287039,1.543529784149885,40.38087721740445,1.039291453711029,-0.7051637900468278,-7.9139682274354755,18.465826687138602
26,1.164819975897089,0.16298306220265044,3.956948097908363,14.508878589230239,1.5881190047174094,39.0262028300961,0.9350021613099071,-0.7046975235420592,-10.551930491321876,18.465826687138602
27,1.2479371645515305,0.10447155652607351,2.6379944258464247,15.827832261292176,1.6327257490501403,37.768513139499746,0.8503404996699337,-0.7054979503350757,-13.189837835445752,18.465826687138602
w6,2.8849747241785924,1.2664096559093985,1.318983296274343,17.1468245420442,1.677446397856712,36.594245088095654,0.7788496251079884,0.09234384401244648,-15.827841245769857,18.465807838318543
28,1.3955392427063542,0.0,0.0,18.465826687138602,1.7223714905906913,35.492391398456746,,-0.7102382526022641,-18.465826687138602,18.465826687138602
29,1.463609208292084,0.04879232869100078,1.3190125885038029,19.784839275642405,1.7675711223129034,34.45425668816949,0.7167967292351569,-0.6499054979429812,-18.465826687138602,21.103851864146208
